Q1,Q1_Confident,Q1_Time,Q2,Q2_Confident,Q2_Time,Q3,Q3_Confident,Q3_Time,Q4,Q4_Confident,Q4_Time,Q5,Q5_Confident,Q5_Time,Q6,Q6_Confident,Q6_Time,Q7,Q7_Confident,Q7_Time,Q8,Q8_Confident,Q8_Time,Q9,Q9_Confident,Q9_Time,Q10,Q10_Confident,Q10_Time,AT1,AT1_Confident,AT1_Time,TQ1_Confident,TQ2_Identification,TQ3_Comparison,TQ4_GAP,TQ5_OUTLIER,TQ6_SPIKE,Gender,Age,EducationLevel,ExperienceCharts,ExperienceParameters,Likert
0,2,4.494,0,2,3.979,0.235120204,2,9.817,0.068438033,2,13.418,1,2,5.804,1,2,5.64,0,2,8.538,0,2,11.79,1,2,5.606,1,2,5.233,1,2,4.442,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0.222185545,1,28.239,0,3,10.175,0.229945729,2,16.967,0.049788191,1,14.486,1,2,10.405,1,1,6.327,0,1,6.966,1,2,6.425,1,2,115.263,1,3,7.729,1,3,6.238,2,1,0.037879057,1,1,1,Male,2,College degree,neutral,neutral,2
0.222185545,1,74.572,0.31054115,1,31.618,0.067137831,2,23.855,0.214776382,2,33.431,1,2,10.682,0,1,28.979,0,1,26.166,1,2,8.552,1,3,11.57,1,3,7.18,1,3,7.697,0,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0.222185545,1,7.786,0,1,16.079,0.067137831,1,55.452,0.214776382,2,23.64,1,2,9.264,1,2,37.27,0,2,42.495,1,3,13.711,1,2,14.666,1,3,10.539,1,3,7.735,3,1,0.037879057,1,1,1,Female,1,Graduate degree,most familiar,familiar,3
0.222185545,1,14.617,0,1,8.085,0.067137831,2,32.378,0.049788191,2,43.45,1,3,9.328,1,3,12.129,0,1,14.698,1,2,11.381,1,2,17.649,1,3,8.592,1,3,7.762,3,1,0.037879057,1,1,1,Female,1,Graduate degree,most familiar,familiar,3
0,2,20.617,0,0,9.232,0.155221711,3,13.8,0.049788191,0,11.4,1,2,9.299,1,2,6.462,0,2,9.006,0,2,22.57,1,2,20.274,1,2,11.366,1,2,7.881,1,1,0.037879057,1,1,1,Female,1,Graduate degree,neutral,neutral,3
0,2,7.517,0,2,12.98,0.235120204,2,10.462,0.049788191,2,16.078,1,2,5.965,1,2,6.635,0,2,6.323,1,3,12.09,1,2,7.059,1,2,5.833,1,3,5.279,2,1,0.116394431,1,1,1,Female,1,Graduate degree,familiar,neutral,3
0,2,7.514,0,2,5.602,0.067137831,2,14.451,0.075254149,2,4.094,1,2,4.979,1,2,5.513,0,2,6.491,1,2,10.436,1,2,7.495,1,2,7.012,1,2,7.516,2,1,0.037879057,1,1,1,Female,1,Graduate degree,neutral,neutral,3
0,1,5.288,0,2,4.437,0.067137831,2,9.732,0.214776382,2,13.153,1,3,6.046,1,3,3.532,0,2,8.093,1,3,9.725,1,2,7.364,1,3,5.121,1,3,4.768,3,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,neutral,3
0,3,6.239,0,3,4.94,0.067137831,2,7.02,0.049788191,2,6.853,1,2,6.533,1,3,6.169,0,2,9.252,1,2,10.668,1,2,7.802,1,2,7.92,1,2,7.172,3,1,0.037879057,1,1,1,Female,1,Graduate degree,neutral,neutral,2
0,0,14.517,0,3,7.683,0.235120204,1,28.448,0.049788191,2,28.742,1,3,7.309,1,3,15.079,1,0,18.112,1,1,29.576,1,1,20.926,1,2,18.641,1,3,6.27,3,1,0.116394431,1,1,1,Male,1,Graduate degree,most familiar,familiar,3
0.097089152,0,20.132,0,3,9.068,0.235120204,0,23.099,0.049788191,2,14.904,1,2,18.056,1,3,8.336,0,0,66.254,1,2,12.307,1,2,11.933,1,3,12.375,1,3,5.677,3,1,0.116394431,1,1,1,Male,1,Graduate degree,familiar,most familiar,2
0.097089152,1,25.085,0,2,19.431,0.155221711,0,32.388,0.068438033,1,30.607,1,2,14.222,1,2,10.054,0,0,28.504,1,2,11.892,0,1,18.922,1,2,18.847,1,3,6.148,1,1,0.037879057,1,1,1,Male,3,Some college,neutral,neutral,2
0,2,16.349,0,3,8.011,0.229945729,0,29.706,0.049788191,2,17.89,1,2,10.213,1,3,7.464,0,1,16.802,1,2,16.943,1,2,24.707,1,3,10.134,1,3,4.394,3,1,0.116394431,1,1,1,Male,1,Graduate degree,most familiar,familiar,3
0,2,7.907,0,2,4.475,0.067137831,2,4.924,0.068438033,2,6.868,1,2,7.108,1,2,7.11,0,2,7.772,0,2,5.854,1,2,11.99,1,2,6.156,1,2,4.18,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,5.573,0,2,11.493,0.155221711,2,13.453,0.068438033,2,8.701,1,2,7.352,1,2,12.105,0,2,10.512,0,2,6.617,0,2,14.27,0,2,12.912,1,2,8.879,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0,2,7.746,0,2,9.215,0.235120204,2,9.999,0.049788191,2,9.835,0,2,13.464,1,2,14.879,0,2,6.183,0,2,7.416,1,2,11.273,1,2,8.121,1,2,5.578,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,15.26,0,2,12.816,0.229945729,2,20.601,0.068438033,2,10.32,1,2,9.391,1,2,12.732,0,2,15.881,0,2,7.752,1,2,11.838,1,3,6.317,1,3,5.689,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
