Q1,Q1_Confident,Q1_Time,Q2,Q2_Confident,Q2_Time,Q3,Q3_Confident,Q3_Time,Q4,Q4_Confident,Q4_Time,Q5,Q5_Confident,Q5_Time,Q6,Q6_Confident,Q6_Time,Q7,Q7_Confident,Q7_Time,Q8,Q8_Confident,Q8_Time,Q9,Q9_Confident,Q9_Time,Q10,Q10_Confident,Q10_Time,Q11,Q11_Confident,Q11_Time,Q12,Q12_Confident,Q12_Time,Q13,Q13_Confident,Q13_Time,Q14,Q14_Confident,Q14_Time,Q15,Q15_Confident,Q15_Time,AT1,AT1_Confident,AT1_Time,TQ1_Confident,TQ2_Identification,TQ3_Comparison,TQ4_GAP,TQ5_OUTLIER,TQ6_SPIKE,Gender,Age,EducationLevel,ExperienceCharts,ExperienceParameters,Likert
0.132493662,0,15.277,0,0,27.137,0,1,8.604,0.059181151,0,10.061,0.100336011,0,7.001,0.046373167,0,6.639,1,1,7.921,1,0,17.308,1,0,28.476,1,2,4.333,1,1,13.025,1,1,6.771,1,0,15.756,1,2,5.789,0,1,6.62,1,3,3.621,0,0,0.116394431,1,1,1,Male,3,Some college,familiar,most unfamiliar,0
0.130250296,1,36.05,0,3,17.441,0,1,66.762,0.162974289,0,122.711,0.054495195,1,58.001,0.062950331,2,19.834,1,2,16.035,1,2,13.331,1,2,33.908,0,1,59.831,0,1,26.88,1,1,86.596,0,0,102.448,1,2,12.919,1,2,9.038,1,3,7.141,0,1,0.037879057,1,1,1,Male,2,Some college,unfamiliar,most unfamiliar,2
0.130250296,2,13.167,0,3,5.045,0,2,18.195,0.094366575,2,14.132,0.054495195,3,8.637,0.062950331,2,6.084,0,2,11.605,1,2,8.061,0,2,8.781,0,2,9.31,0,2,12.021,0,2,6.205,1,2,7.581,1,2,10.015,1,3,6.799,1,3,4.591,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,6.985,0,3,4.141,0,3,6.065,0.094366575,3,9.078,0.054495195,2,4.264,0.062950331,2,21.627,0,2,6.934,1,3,7.057,0,2,5.135,0,2,5.011,0,2,7.225,0,2,5.606,1,2,4.477,1,2,5.994,1,3,4.769,1,3,4.186,2,1,0.065660626,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,8.592,0,2,9.269,0,3,6.039,0.101270069,2,5.112,0.054495195,3,3.991,0.062950331,3,3.95,0,2,7.207,1,2,7.428,0,3,6.084,0,2,12.947,0,2,6.386,0,2,5.055,1,3,14.039,1,2,10.217,1,3,7.474,1,3,5.628,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,5.471,0,3,5.245,0,2,12.35,0.101270069,3,7.245,0.054495195,2,4.901,0.062950331,3,4.237,1,2,10.927,1,2,6.602,1,2,17.95,0,2,10.406,0,2,5.976,0,2,5.483,1,3,8.103,1,2,4.938,1,2,6.709,1,3,4.224,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,5.301,0,3,4.365,0,3,7.116,0.101270069,2,6.061,0.054495195,3,5.372,0.062950331,2,4.324,1,2,17.501,1,2,6.759,1,2,7.154,0,2,9.487,0,2,7.688,0,2,6.631,1,2,7.582,1,2,7.911,1,2,6.813,1,3,5.774,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0.130250296,2,12.375,0,2,5.633,0,2,8.199,0.101270069,2,10.215,0.054495195,2,7.429,0.062950331,2,7.941,1,2,48.215,1,2,7.509,1,2,11.919,0,2,18.152,0,2,11.415,0,2,8.206,1,2,12.799,0,2,10.256,1,2,17.13,1,3,8.048,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,5.61,0,3,5.822,0,2,25.677,0.101270069,2,5.997,0.054495195,3,8.543,0.062950331,3,4.383,1,2,11.84,1,3,5.832,1,3,7.086,0,2,33.918,0,2,5.657,0,3,7.63,1,2,6.782,1,2,12.862,1,3,5.168,1,3,7.713,3,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,16.312,0,3,5.916,0,2,5.619,0.101270069,2,10.517,0.054495195,3,4.337,0.062950331,2,5.753,1,2,9.11,1,2,6.653,1,2,6.529,0,2,6.216,0,2,8.556,0,2,8.325,1,2,8.638,1,2,8.29,1,3,5.617,1,3,4.836,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,1,20.913,0,3,14.579,0,1,31.518,0.094366575,1,29.463,0.054495195,3,14.278,0.062950331,2,13.104,1,2,24.624,1,2,11.127,1,2,15.422,0,0,76.974,0,2,13.117,0,1,17.651,1,1,16.883,1,2,14.525,1,3,13.938,1,3,9.635,0,1,0.116394431,1,1,1,Male,2,College degree,neutral,unfamiliar,2
0,3,6.002,0,2,8.132,0,3,7.854,0.094366575,3,8.34,0.054495195,2,7.889,0.062950331,3,6.908,0,2,11.011,1,2,5.299,1,2,6.952,0,2,8.442,0,2,5.727,1,2,9.178,1,2,7.928,1,2,7.301,1,3,5.901,1,3,6.275,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0.070479965,3,7.454,0,2,6.33,0,2,6.34,0.094366575,2,7.131,0.054495195,2,4.129,0.062950331,3,4.941,1,3,10.441,1,3,7.242,1,3,6.663,0,2,6.646,0,2,10.304,0,2,17.704,1,2,5.967,1,2,6.037,0,3,7.56,1,3,10.721,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,15.662,0,3,5.207,0,2,8.647,0.094366575,2,7.325,0.054495195,3,5.392,0.062950331,2,4.353,1,2,8.161,1,2,5.955,1,3,5.001,0,2,7.004,0,2,7.194,0,2,10.623,1,2,5.825,1,2,5.792,1,3,8.017,1,3,5.126,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,2,8.038,0,2,5.888,0,3,6.299,0.094366575,3,6.523,0.054495195,2,5.748,0.062950331,3,5.84,1,2,10.342,1,3,7.639,0,2,15.708,0,2,9.17,0,2,12.341,0,2,8.013,1,2,8.753,1,2,24.07,1,3,7.33,1,3,46.694,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,11.22,0,2,5.742,0,3,10.728,0.094366575,2,28.67,0.054495195,2,8.984,0.062950331,2,6.971,1,3,14.464,1,2,7.719,1,3,8.126,0,2,21.212,0,2,9.743,0,2,11.635,1,2,9.851,1,2,10.764,1,3,11.164,1,3,11.126,3,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,1,23.669,0.110841404,2,45.068,0,1,54.949,0.280091028,0,23.244,0.474788649,1,17.426,0.515269524,1,24.139,1,1,14.81,0,0,37.664,0,0,54.087,0,0,16.488,0,0,8.097,0,0,14.451,0,2,14.072,1,2,21.09,0,2,28.153,1,3,9.122,0,0,0.075813614,0,0,0,Female,3,High school degree,unfamiliar,most unfamiliar,2
0.130250296,2,5.201,0,2,4.104,0,2,10.65,0.094366575,2,14.728,0.054495195,2,6.496,0.062950331,2,5.449,1,2,7.788,1,2,6.723,1,2,6.947,0,2,26.25,0,2,9.109,1,2,18.16,1,2,5.713,1,2,9.16,1,2,5.681,1,3,4.443,2,1,0.037879057,1,1,1,Female,1,Graduate degree,familiar,familiar,2
0.130250296,2,3.042,0.236292747,3,4.392,0.101221045,2,26.057,0.108455693,2,2.873,0.280921001,2,5.827,0.176457312,2,2.564,0,2,7.165,0,3,13.956,0,2,5.117,1,2,4.421,0,2,4.062,0,2,7.219,0,2,4.344,0,2,4.38,0,2,45.341,1,3,15.398,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,1,21.775,0,3,21.463,0.101221045,2,18.676,0.094366575,1,9.305,0.054495195,3,8.185,0.062950331,2,8.147,0,1,7.033,0,0,8.933,0,1,8.317,0,0,3.782,0,2,9.535,0,2,7.2,0,1,8.341,1,2,7.644,0,2,7.166,1,3,7.895,2,1,0.037879057,1,1,1,Male,1,Some college,unfamiliar,unfamiliar,2
0.130250296,2,6.448,0,2,4.544,0,3,6.458,0.101270069,2,4.634,0.054495195,3,4.707,0.062950331,3,4.682,1,2,7.107,1,3,6.356,1,2,7.795,0,2,14.962,0,2,13.923,1,2,7.875,1,3,5.763,1,2,5.883,1,3,6.171,1,3,5.198,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
0,3,6.748,0,3,4.196,0,2,5.28,0.101270069,2,7.152,0.054495195,2,3.264,0.062950331,3,3.887,1,2,7.439,1,2,5.005,1,3,5.101,1,2,6.994,0,2,9.088,1,2,7.432,1,2,4.713,1,2,6.114,1,3,5.151,1,3,5.313,2,1,0.037879057,1,1,1,Female,1,College degree,familiar,familiar,2
